"Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area"
"2009,6,16,10,2,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,29XX,PARKER ST,Hastings-Sunrise"
"2009,6,16,10,5,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,10XX,PARKER ST,Strathcona"
"2009,6,16,10,35,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - Out,27XX,PANDORA ST,Hastings-Sunrise"
"2009,6,16,10,41,ENG - Streets,Streets Operations,Pothole - Repair,13XX,PACIFIC BOULEVARD,Downtown"
"2009,6,16,10,42,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,1XX,E 27TH AV,Riley Park"
"2009,6,16,10,53,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,8XX,E 13TH AV,Mount Pleasant"
"2009,6,16,11,7,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,22XX,TRIUMPH ST,Grandview-Woodland"
"2009,6,16,11,26,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,54XX,SHERBROOKE ST,Kensington-Cedar Cottage"
"2009,6,16,11,32,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,58XX,YEW ST,Kerrisdale"
"2009,6,16,11,54,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,11XX,HARWOOD ST,West End"
"2009,6,16,11,57,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,13XX,DAVIE ST,West End"
"2009,6,16,12,27,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,Intersection,E 54TH AV and KERR ST,Killarney"
"2009,6,16,12,49,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,1XX,TALISMAN AV,Riley Park"
"2009,6,16,13,19,ENG - Solid Waste,Solid Waste Management,Apartment Recycling - Registration Request,35XX,W 49TH AV,Dunbar Southlands"
"2009,6,16,13,47,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,Intersection,CULLODEN ST and E 53RD AV,Sunset"
"2009,6,16,13,55,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,XX,KEEFER PLACE,Downtown"
"2009,6,16,14,22,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,3600, - 3699 MCGILL ST,"
"2009,6,16,14,36,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,5XX,W 12TH AV,Fairview"
"2009,6,16,14,48,ENG - Streets,Streets Operations,Sidewalk - Repair,Intersection,CAMBIE ST and W KING EDWARD AV,Riley Park"
"2009,6,16,15,11,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,9XX,STATION ST,"
"2009,6,16,15,16,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - Out,46XX,W 4TH AV,West Point Grey"
"2009,6,16,15,29,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,19XX,E 53RD AV,Victoria-Fraserview"
"2009,6,16,15,33,ENG - Streets,Streets Operations,Pothole - Repair,13XX,FRANCES ST,Grandview-Woodland"
"2009,6,16,15,36,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - Out,34XX,E 50TH AV,Killarney"
"2009,6,16,18,5,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,21XX,E 13TH AV,Kensington-Cedar Cottage"
"2009,6,16,18,8,ENG - Streets,Streets Operations,Pothole - Repair,100, - 199 W 11TH AV,Mount Pleasant"
"2009,6,16,21,30,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,50XX,QUEBEC ST,Riley Park"
"2009,6,17,8,2,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,12XX,CONNAUGHT DRIVE,Shaughnessy"
"2009,6,17,8,18,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,10XX,W 42ND AV,Oakridge"
"2009,6,17,8,28,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,7XX,E GEORGIA ST,Strathcona"
"2009,6,17,8,36,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,57XX,VICTORIA DRIVE,Victoria-Fraserview"
"2009,6,17,8,43,ENG - Streets,Streets Operations,Sidewalk - Repair,8XX,BIDWELL ST,West End"
"2009,6,17,8,52,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,3000, - 3099 BLANCA ST,West Point Grey"
"2009,6,17,8,55,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - Out,29XX,W 40TH AV,Dunbar Southlands"
"2009,6,17,9,23,ENG - Streets,Streets Operations,Pothole - Repair,Intersection,E 47TH AV and PRINCE ALBERT ST,Sunset"
"2009,6,17,9,25,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,8XX,W 67TH AV,Marpole"
"2009,6,17,9,38,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,10XX,E 14TH AV,Mount Pleasant"
"2009,6,17,9,43,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,10XX,E 14TH AV,Mount Pleasant"
"2009,6,17,9,50,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,4000, - 4099 MAIN ST,Riley Park"
"2009,6,17,9,53,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,20XX,FRASERVIEW DRIVE,"
"2009,6,17,9,55,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,20XX,FRASERVIEW DRIVE,"
"2009,6,17,10,5,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,19XX,STAINSBURY AV,Kensington-Cedar Cottage"
"2009,6,17,10,24,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,23XX,TRIUMPH ST,Grandview-Woodland"
"2009,6,17,10,31,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,1XX,W 3RD AV,Mount Pleasant"
"2009,6,17,10,38,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,2500, - 2599 KINGSWAY,Renfrew-Collingwood"
"2009,6,17,10,52,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - Out,75XX,BORDEN ST,Victoria-Fraserview"
"2009,6,17,11,1,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,8XX,E 12TH AV,Mount Pleasant"
"2009,6,17,11,3,ENG - Streets,Streets Operations,Sidewalk - Repair,11XX,BUTE ST,West End"
"2009,6,17,11,27,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - Out,1XX,E 50TH AV,Sunset"
"2009,6,17,11,30,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,2500, - 2599 FRANKLIN ST,Hastings-Sunrise"
"2009,6,17,11,32,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,5500, - 5599 CARNARVON ST,Dunbar Southlands"
"2009,6,17,11,49,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,16XX,E 37TH AV,Kensington-Cedar Cottage"
"2009,6,17,12,5,ENG - Transportation,Traffic and Data Management,Truck Violation,6XX,DUNSMUIR ST,Downtown"
"2009,6,17,12,8,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,14XX,E 1ST AV,Grandview-Woodland"
"2009,6,17,12,15,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,5XX,E 6TH AV,Mount Pleasant"
"2009,6,17,12,22,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,1400, - 1499 E 15TH AV,Kensington-Cedar Cottage"
"2009,6,17,12,27,ENG - Streets,Streets Operations,Pothole - Repair,3XX,E 38TH AV,Riley Park"
"2009,6,17,14,12,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,,E 51ST AV,"
"2009,6,17,14,36,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,600, - 699 W 26TH AV,South Cambie"
"2009,6,17,14,39,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,16XX,W 12TH AV,Fairview"
"2009,6,17,14,43,ENG - Streets,Streets Operations,Street - Repair,8200, - 8299 CROMPTON ST,Sunset"
"2009,6,17,15,31,ENG - Streets,Streets Operations,Pothole - Repair,22XX,KINGSWAY,Kensington-Cedar Cottage"
"2009,6,17,15,44,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - New/Relocation,,BLENHEIM ST,"
"2009,6,17,16,16,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,28XX,W 24TH AV,Arbutus Ridge"
"2009,6,17,16,55,ENG - Solid Waste,Sanitation,Poster/Sign Removal Request,400, - 499 COMMERCIAL DRIVE,Grandview-Woodland"
"2009,6,17,17,5,CSG - Inspections,Reception,Reception After Hours Inquiry Case,25XX,W 45TH AV,Kerrisdale"
"2009,6,18,7,36,ENG - Transportation,ZZ OLD - Traffic And Electrical Operations,Street Light - Shield Request,13XX,ARBUTUS ST,Kitsilano"
"2009,6,18,7,43,ENG - Solid Waste,Solid Waste Management,Illegal Dumping/Abandoned Garbage Pickup,1400, - 1499 ROBSON ST,West End"
